"Tipo" "Quantidade"
"1" 1 0
"2" 1 2
"3" 1 2
"4" 1 3
"5" 1 1
"6" 1 4
"7" 1 4
"8" 1 4
"9" 1 2
"10" 1 1
"11" 1 2
"12" 1 2
"13" 1 4
"14" 1 0
"15" 1 3
"16" 1 1
"17" 1 2
"18" 1 1
"19" 1 0
"20" 1 0
"21" 1 3
"22" 1 2
"23" 1 2
"24" 1 3
"25" 1 2
"26" 1 2
"27" 1 2
"28" 1 2
"29" 1 1
"30" 1 2
"31" 1 0
"32" 1 3
"33" 1 1
"34" 1 2
"35" 1 4
"36" 1 2
"37" 1 3
"38" 1 3
"39" 1 4
"40" 1 1
"41" 1 5
"42" 1 1
"43" 1 1
"44" 1 2
"45" 1 2
"46" 1 1
"47" 1 0
"48" 1 0
"49" 1 2
"50" 1 4
"51" 1 2
"52" 1 5
"53" 1 1
"54" 1 2
"55" 1 3
"56" 1 4
"57" 1 1
"58" 1 4
"59" 1 1
"60" 1 1
"61" 1 0
"62" 1 1
"63" 1 2
"64" 1 1
"65" 1 2
"66" 1 1
"67" 1 1
"68" 1 3
"69" 1 2
"70" 1 2
"71" 1 1
"72" 1 2
"73" 1 4
"74" 1 0
"75" 1 3
"76" 1 3
"77" 1 1
"78" 1 3
"79" 1 2
"80" 1 3
"81" 1 2
"82" 1 0
"83" 1 0
"84" 1 1
"85" 1 2
"86" 1 1
"87" 1 1
"88" 1 0
"89" 1 0
"90" 1 1
"91" 1 0
"92" 1 2
"93" 1 3
"94" 1 3
"95" 1 2
"96" 1 3
"97" 1 4
"98" 1 2
"99" 1 4
"100" 1 2
"101" 1 1
"102" 1 3
"103" 1 2
"104" 1 1
"105" 1 2
"106" 1 1
"107" 1 2
"108" 1 2
"109" 1 4
"110" 1 3
"111" 1 2
"112" 1 4
"113" 1 2
"114" 1 2
"115" 1 2
"116" 1 1
"117" 1 1
"118" 1 3
"119" 1 1
"120" 1 1
"121" 1 2
"122" 1 4
"123" 1 0
"124" 1 1
"125" 1 0
"126" 1 0
"127" 1 3
