ano,dia
10234,4
10234,17
10234,19
10234,35
10234,44
10234,47
10234,47
10235,7
10235,10
10235,21
10235,23
10235,42
10235,45
10235,48
10236,1
10236,7
10236,19
10236,23
10236,29
10236,34
10236,35
10236,40
10237,25
10237,30
10237,33
10238,9
10238,9
10238,11
10238,12
10238,15
10238,15
10238,22
10238,26
10238,34
10238,38
10238,39
10238,48
10239,1
10239,6
10239,21
10239,24
10239,41
10240,1
10240,7
10240,9
10240,14
10240,26
10241,10
10241,22
10241,25
10241,26
10241,37
10241,48
10241,50
10242,13
10242,14
10242,15
10242,15
10242,25
10242,25
10242,26
10242,27
10242,27
10242,27
10242,34
10242,38
10242,39
10242,39
10242,41
10243,3
10243,3
10243,3
10243,8
10243,12
10243,14
10243,15
10243,21
10243,25
10243,27
10243,32
10243,38
10243,46
10244,2
10244,12
10244,12
10244,15
10244,22
10244,27
10244,29
10244,35
10244,39
10244,43
10244,46
10245,14
10245,17
10245,37
10245,40
10245,44
10245,46
10246,3
10246,5
10246,7
10246,34
10246,36
10246,38
10246,39
10246,46
10246,47
10247,1
10247,10
10247,12
10247,14
10247,26
10247,26
10247,27
10247,28
10247,34
10247,36
10247,38
10247,41
10248,9
10248,18
10248,22
10248,27
10248,28
10248,29
10248,37
10248,39
10249,2
10249,7
10249,8
10249,8
10249,9
10249,12
10249,17
10249,19
10249,27
10249,40
10249,47
10250,3
10250,3
10250,6
10250,7
10250,8
10250,10
10250,11
10250,16
10250,18
10250,27
10250,28
10250,28
10250,38
10250,40
10250,41
10250,48
10250,50
10251,5
10251,7
10251,17
10251,18
10251,21
10251,30
10251,34
10251,40
10251,43
10251,43
10251,46
10251,47
10252,4
10252,7
10252,8
10252,13
10252,15
10252,16
10252,17
10252,18
10252,20
10252,25
10252,26
10252,28
10252,38
10253,13
10253,23
10253,32
10253,35
10253,43
10253,47
10254,8
10254,12
10254,13
10254,14
10254,25
10254,27
10254,42
10254,44
10254,44
10254,47
10254,48
10255,13
10255,14
10255,23
10255,24
10255,27
10255,30
10255,39
10255,40
10255,44
10255,45
10255,46
10256,3
10256,10
10256,10
10256,13
10256,16
10256,20
10256,26
10256,28
10256,33
10256,34
10256,35
10256,38
10256,44
10256,45
10256,47
10256,49
10257,1
10257,1
10257,3
10257,9
10257,15
10257,20
10257,24
10257,49
10257,49
10258,9
10258,11
10258,12
10258,15
10258,28
10258,32
10258,33
10258,41
10258,44
10258,47
10258,48
10258,50
10259,5
10259,18
10259,27
10259,30
10259,33
10259,34
10259,40
10259,46
10259,47
10260,16
10260,19
10260,21
10260,25
10260,31
10260,37
10260,37
10260,43
10260,43
10260,50
10261,12
10261,13
10261,17
10261,18
10261,19
10261,36
10261,39
10261,42
10261,45
10261,48
10262,1
10262,2
10262,28
10262,32
10262,41
10263,1
10263,2
10263,2
10263,5
10263,13
10263,16
10263,17
10263,21
10263,23
10263,32
10263,34
10263,36
10263,38
10263,40
10263,44
10264,10
10264,12
10264,13
10264,18
10264,22
10264,23
10264,23
10264,24
10264,30
10264,36
10264,37
10264,49
10265,8
10265,13
10265,17
10265,20
10265,21
10265,25
10265,29
10265,35
10265,35
10265,36
10265,37
10265,45
10265,46
10266,6
10266,11
10266,17
10266,25
10266,27
10266,27
10266,40
10266,45
10266,48
10266,50
10266,50
10267,6
10267,21
10267,26
10267,34
10267,35
10267,40
10267,49
10268,3
10268,5
10268,26
10268,32
10268,32
10268,35
10268,44
10268,46
10268,47
10268,47
10268,48
10269,1
10269,2
10269,4
10269,14
10269,21
10269,23
10269,26
10269,32
10269,41
10270,1
10270,1
10270,2
10270,4
10270,9
10270,10
10270,13
10270,22
10270,30
10270,33
10270,36
10271,1
10271,11
10271,14
10271,19
10271,23
10271,23
10271,36
10271,50
10272,1
10272,7
10272,8
10272,15
10272,22
10272,23
10272,26
10272,29
10272,31
10272,33
10272,34
10272,34
10272,47
10272,47
10272,47
10273,3
10273,6
10273,7
10273,7
10273,10
10273,11
10273,15
10273,16
10273,16
10273,23
10273,25
10273,26
10273,31
10273,32
10273,41
10273,49
10274,1
10274,2
10274,12
10274,19
10274,20
10274,27
10274,29
10274,31
10274,38
10274,39
10274,48
10275,7
10275,11
10275,15
10275,20
10275,21
10275,21
10275,24
10275,25
10275,27
10275,31
10275,38
10275,39
10275,48
10275,49
10276,7
10276,9
10276,16
10276,23
10276,23
10276,27
10276,29
10276,46
10276,50
10277,1
10277,10
10277,13
10277,19
10277,20
10277,31
10277,33
10277,34
10277,41
